resample,ari
447,0.8156182212581344
448,0.7194719471947195
449,0.48223350253807107
450,0.688715953307393
451,0.6579691920779629
452,0.6161616161616161
453,0.4036697247706422
454,0.5262110152621101
455,0.2987431517885917
456,0.7096774193548387
457,0.7269919703520692
458,0.4136748688987495
459,0.8264462809917356
460,0.7346938775510204
461,0.6369426751592356
462,0.4024896265560166
463,0.8586049016967412
464,0.8088410991636799
465,0.8960138648180243
466,1.0
467,0.827027027027027
468,0.44550149497145963
469,0.7818292931350581
470,0.7327488687782805
471,0.4201909959072306
472,0.7389078498293515
473,0.5129604365620737
474,0.7255460588793922
475,0.623229461756374
476,0.48662640207075064
477,0.711211778029445
478,0.6617210682492581
479,0.75
480,0.5724614900974536
481,0.3539630836047774
482,0.7848244620611552
483,0.8901098901098901
484,0.6684118673647469
485,0.8588791357191087
486,0.6303454940806958
487,1.0
488,0.521768251841929
489,0.6549835706462213
490,0.6654275092936803
491,0.6101694915254238
492,0.4630151740741914
493,0.691743119266055
494,0.7963624553426437
495,0.9274193548387096
496,0.793939393939394
497,0.7581973349303788
498,0.688715953307393
499,0.874487284659557
500,0.8294314381270903
501,0.7132616487455197
502,0.668177065179505
503,0.5751633986928104
504,0.7457627118644068
505,0.6702586206896551
506,0.5561003749639458
507,0.3740411169070267
508,0.8004694835680751
509,0.2765957446808511
510,0.9019607843137255
511,0.6921529175050302
512,1.0
513,0.5099519560741249
514,0.6032944406314344
515,0.8862876254180602
516,0.9426751592356688
517,0.5633802816901409
518,0.7861635220125787
519,0.6582485465116279
520,0.7263157894736842
521,0.462856340401629
522,0.891989198919892
523,0.6980155306298533
524,0.8446475195822454
525,0.5318275154004107
526,0.7471233609847471
527,0.6326530612244898
528,0.5850822461712989
529,0.8465473145780051
530,0.927038626609442
531,0.6271802325581395
532,0.6974789915966386
533,0.5566231983527797
534,0.8314447592067988
535,1.0
536,0.7899794097460535
537,0.841688654353562
538,0.4541210271143832
539,0.41025641025641024
540,0.752549286199864
541,0.6656050955414012
542,0.7477744807121661
543,0.7150837988826816
544,0.7531042448743863
545,0.5985569039029189
546,0.6671018276762402
547,0.7007172353836123
548,0.5412474849094567
549,0.6657450076804915
550,0.5389121338912134
551,0.7206053550640279
552,0.610051993067591
553,0.8813056379821959
554,0.25477707006369427
555,1.0
556,0.5452900891588061
557,0.5848044061573224
558,0.42503259452411996
559,0.7804003585300269
560,0.8017804979830296
561,0.7985074626865671
562,0.7043294614572334
563,0.7126284388465363
564,0.501953125
565,0.8011695906432749
566,0.7427240977881258
567,0.7238421955403087
568,0.5871559633027523
569,0.9383036758020522
570,0.522668206757147
571,0.6333133612941881
572,0.5268482490272374
573,0.6226415094339622
574,0.8381099922540666
575,1.0
576,0.463302752293578
577,0.7505938242280285
578,0.7755775577557755
579,0.5766283524904214
580,0.6329404401794096
581,0.67826968570463
582,0.5400624349635796
583,0.6853595890410958
584,0.4216385458340581
585,0.5487091222030981
586,0.6104641627029687
587,0.504950495049505
588,0.7011494252873564
589,0.8144833197721725
590,0.8604229607250755
591,0.7981109799291618
592,0.7230464886251237
593,0.4917082595395266
594,0.8090042099836756
595,0.45405330372015545
596,0.8772587794067508
597,0.7545454545454545
598,0.6869688385269122
599,1.0
600,0.22350041084634348
601,0.8520820385332505
602,0.726200747771067
603,0.621962196219622
604,0.8348623853211009
605,0.9027777777777778
606,0.8588791357191087
607,0.8114983464767235
608,0.7221770917952883
609,0.5452631578947369
610,0.8548387096774194
611,0.5138888888888888
612,0.43041237113402064
613,0.635681757299759
614,0.7693110647181628
615,0.43676330041414463
616,0.5710767546860036
617,0.557429718875502
618,0.8726768377253814
619,0.601565776597232
620,0.5414583692466816
621,0.4442105263157895
622,1.0
623,0.8858858858858859
624,0.8643006263048016
625,0.7214935966671809
626,0.7209399916072178
627,0.655241935483871
628,0.4909090909090909
629,0.8287632904308898
630,0.8647778493238892
631,0.621455938697318
632,0.40708418891170434
633,1.0
634,0.4069767441860465
635,0.6007604562737643
636,0.6080855329101236
637,0.6579691920779629
638,0.711211778029445
