draw,silhouette,k_selected,ortho_silhouette,sep_sil
205,0.2145807594,4,0.2609725296,-0.0140505182
206,0.2225164473,5,0.2355281413,-0.0053354800
207,0.1543352306,3,0.1443170309,0.0031904946
208,0.1608640105,4,0.1549872160,0.0031514983
209,0.2786054313,3,0.3406395018,-0.0066575985
210,0.1371245533,4,0.1579306722,0.0065278038
211,0.1303616166,4,0.1453710049,0.0016587513
212,0.2303513139,4,0.2606534064,-0.0013750042
213,0.1542336494,4,0.1785582006,0.0035980046
214,0.1732126921,5,0.1967461109,0.0027684886
215,0.1485307366,5,0.1460436583,0.0049904054
216,0.1771992445,5,0.1599781215,-0.0002222326
217,0.1627780944,4,0.1629973650,-0.0076264930
218,0.1275472641,4,0.1333356202,-0.0051975590
219,0.1782217473,5,0.1868890375,-0.0058907736
220,0.1444289088,4,0.1670238823,-0.0038454561
221,0.1557289511,5,0.1777970493,-0.0055904835
222,0.1367724985,5,0.1394039541,-0.0101519637
223,0.1752297878,5,0.1560979486,0.0099357758
224,0.2730861306,6,0.3096782863,-0.0012901207
225,0.1496564150,3,0.1706257015,0.0095423488
226,0.1539953053,4,0.1783389449,-0.0061236206
227,0.2428321838,3,0.2922156155,-0.0000208504
228,0.1459419429,6,0.1442591846,-0.0080125881
229,0.1578029990,5,0.1573513597,-0.0038226703
230,0.2054791898,4,0.2862251103,-0.0060800347
231,0.1393457651,4,0.1541125923,0.0010349466
232,0.1600399464,4,0.1657796502,-0.0071999230
233,0.2124373317,5,0.1844508201,-0.0107457675
234,0.1411251426,4,0.1481066346,-0.0102701476
235,0.1279466599,2,0.1371418089,0.0001840209
236,0.1942255199,5,0.2100779563,-0.0021667711
237,0.1764753610,4,0.2061641365,0.0302630588
238,0.2047778666,5,0.2294727564,-0.0096990531
239,0.1843446344,5,0.2133080214,0.0044244258
240,0.1398978531,5,0.1512664109,0.0016038836
241,0.1243912727,5,0.1442495435,-0.0058853654
242,0.1154715344,4,0.1319391280,-0.0061949515
243,0.1528042555,4,0.1847803593,0.0059903357
244,0.2475808412,5,0.2764662802,-0.0064738779
245,0.1756639332,5,0.1871768534,0.0096519608
